feature	score	p-value	#I-out-of-20	#O-out-of-334
,,group_35619	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35603	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35624	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35618	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_40106	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35611	27.7079041916	1.41085067086e-07	3.0	2.0
,,bcr_3	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35620	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35621	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_26838	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35609	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35602	27.7079041916	1.41085067086e-07	3.0	2.0
,,sigL	27.7079041916	1.41085067086e-07	3.0	2.0
,,sigV	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35625	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35604	27.7079041916	1.41085067086e-07	3.0	2.0
,,nhaA_2	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_33240	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_16973	26.5056235355	2.62772054897e-07	7.0	16.0
,,group_14132	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26377	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26374	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26379	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_18040	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26378	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26375	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_26376	26.2563334869	2.98972714609e-07	5.0	8.0
,,group_8417	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_30052	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_10234	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_22412	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_24336	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_14036	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_8473	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_1529	25.4107784431	4.6332218412e-07	4.0	5.0
,,group_17113	23.7393071001	1.10306510566e-06	5.0	9.0
,,group_14531	23.7393071001	1.10306510566e-06	5.0	9.0
,,group_17112	23.7393071001	1.10306510566e-06	5.0	9.0
,,group_11930	23.7393071001	1.10306510566e-06	5.0	9.0
,,group_22848	23.7393071001	1.10306510566e-06	5.0	9.0
,,group_16175	22.2203132197	2.43088318517e-06	9.0	30.0
,,group_22569	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22516	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16933	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16981	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22373	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_19117	22.1398203593	2.53496571187e-06	3.0	3.0
,,yokD	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22571	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22566	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16974	22.1398203593	2.53496571187e-06	3.0	3.0
,,nhaA_1	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22514	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22368	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22573	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16977	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_26308	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_13987	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22515	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_16978	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_14002	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22564	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22371	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22577	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22568	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22372	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22370	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22563	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22574	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22572	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22570	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22562	22.1398203593	2.53496571187e-06	3.0	3.0
,,group_22567	22.1398203593	2.53496571187e-06	3.0	3.0
