feature	score	p-value	#I-out-of-20	#O-out-of-406
,,group_21256	20.3	6.62005839055e-06	1.0	0.0
,,group_1357	20.3	6.62005839055e-06	1.0	0.0
,,group_30728	20.3	6.62005839055e-06	1.0	0.0
,,group_21105	20.3	6.62005839055e-06	1.0	0.0
,,group_36590	20.3	6.62005839055e-06	1.0	0.0
,,group_838	20.3	6.62005839055e-06	1.0	0.0
,,group_21011	20.3	6.62005839055e-06	1.0	0.0
,,group_32193	20.3	6.62005839055e-06	1.0	0.0
,,group_36575	20.3	6.62005839055e-06	1.0	0.0
,,group_21132	20.3	6.62005839055e-06	1.0	0.0
,,adhP	20.3	6.62005839055e-06	1.0	0.0
,,group_32194	20.3	6.62005839055e-06	1.0	0.0
,,group_4094	20.3	6.62005839055e-06	1.0	0.0
,,group_21012	20.3	6.62005839055e-06	1.0	0.0
,,group_21047	20.3	6.62005839055e-06	1.0	0.0
,,group_32018	20.3	6.62005839055e-06	1.0	0.0
,,group_20167	20.3	6.62005839055e-06	1.0	0.0
,,group_21116	20.3	6.62005839055e-06	1.0	0.0
,,group_36535	20.3	6.62005839055e-06	1.0	0.0
,,group_1267	20.3	6.62005839055e-06	1.0	0.0
,,group_21024	20.3	6.62005839055e-06	1.0	0.0
,,group_31005	20.3	6.62005839055e-06	1.0	0.0
,,group_21206	20.3	6.62005839055e-06	1.0	0.0
,,group_1833	20.3	6.62005839055e-06	1.0	0.0
,,group_21231	20.3	6.62005839055e-06	1.0	0.0
,,intA_5	20.3	6.62005839055e-06	1.0	0.0
,,group_21126	20.3	6.62005839055e-06	1.0	0.0
,,msrB_3	20.3	6.62005839055e-06	1.0	0.0
,,cysL_4	20.3	6.62005839055e-06	1.0	0.0
,,group_21081	20.3	6.62005839055e-06	1.0	0.0
,,group_20984	20.3	6.62005839055e-06	1.0	0.0
,,group_30780	20.3	6.62005839055e-06	1.0	0.0
,,yedY	20.3	6.62005839055e-06	1.0	0.0
,,group_4611	20.3	6.62005839055e-06	1.0	0.0
,,group_38791	20.3	6.62005839055e-06	1.0	0.0
,,group_21185	20.3	6.62005839055e-06	1.0	0.0
,,pqsA_2	20.3	6.62005839055e-06	1.0	0.0
,,group_36550	20.3	6.62005839055e-06	1.0	0.0
,,group_38826	20.3	6.62005839055e-06	1.0	0.0
,,group_36537	20.3	6.62005839055e-06	1.0	0.0
,,group_21209	20.3	6.62005839055e-06	1.0	0.0
,,nadX_2	20.3	6.62005839055e-06	1.0	0.0
,,group_21214	20.3	6.62005839055e-06	1.0	0.0
,,mmoC	20.3	6.62005839055e-06	1.0	0.0
,,group_30734	20.3	6.62005839055e-06	1.0	0.0
,,group_31002	20.3	6.62005839055e-06	1.0	0.0
,,group_30787	20.3	6.62005839055e-06	1.0	0.0
,,group_8701	20.3	6.62005839055e-06	1.0	0.0
,,group_21089	20.3	6.62005839055e-06	1.0	0.0
,,group_36540	20.3	6.62005839055e-06	1.0	0.0
,,group_30741	20.3	6.62005839055e-06	1.0	0.0
,,group_30789	20.3	6.62005839055e-06	1.0	0.0
,,group_38767	20.3	6.62005839055e-06	1.0	0.0
,,group_21117	20.3	6.62005839055e-06	1.0	0.0
,,group_21208	20.3	6.62005839055e-06	1.0	0.0
,,group_14338	20.3	6.62005839055e-06	1.0	0.0
,,group_21083	20.3	6.62005839055e-06	1.0	0.0
,,group_36558	20.3	6.62005839055e-06	1.0	0.0
,,pntB_2	20.3	6.62005839055e-06	1.0	0.0
,,fadI_2	20.3	6.62005839055e-06	1.0	0.0
,,group_23405	20.3	6.62005839055e-06	1.0	0.0
,,group_38825	20.3	6.62005839055e-06	1.0	0.0
,,group_21022	20.3	6.62005839055e-06	1.0	0.0
,,group_38804	20.3	6.62005839055e-06	1.0	0.0
,,group_30732	20.3	6.62005839055e-06	1.0	0.0
,,group_21103	20.3	6.62005839055e-06	1.0	0.0
,,group_30763	20.3	6.62005839055e-06	1.0	0.0
,,limB_1	20.3	6.62005839055e-06	1.0	0.0
,,lldR_3	20.3	6.62005839055e-06	1.0	0.0
,,group_32014	20.3	6.62005839055e-06	1.0	0.0
,,group_11902	20.3	6.62005839055e-06	1.0	0.0
,,group_355	20.3	6.62005839055e-06	1.0	0.0
,,group_21096	20.3	6.62005839055e-06	1.0	0.0
,,group_8031	20.3	6.62005839055e-06	1.0	0.0
,,group_36571	20.3	6.62005839055e-06	1.0	0.0
,,group_38830	20.3	6.62005839055e-06	1.0	0.0
,,group_38813	20.3	6.62005839055e-06	1.0	0.0
,,group_32188	20.3	6.62005839055e-06	1.0	0.0
,,group_21098	20.3	6.62005839055e-06	1.0	0.0
,,group_13244	20.3	6.62005839055e-06	1.0	0.0
,,slyA_2	20.3	6.62005839055e-06	1.0	0.0
,,group_21137	20.3	6.62005839055e-06	1.0	0.0
,,group_20985	20.3	6.62005839055e-06	1.0	0.0
,,group_20172	20.3	6.62005839055e-06	1.0	0.0
,,group_9489	20.3	6.62005839055e-06	1.0	0.0
,,group_32170	20.3	6.62005839055e-06	1.0	0.0
,,group_21179	20.3	6.62005839055e-06	1.0	0.0
,,group_30745	20.3	6.62005839055e-06	1.0	0.0
,,group_21112	20.3	6.62005839055e-06	1.0	0.0
,,group_19161	20.3	6.62005839055e-06	1.0	0.0
,,group_21085	20.3	6.62005839055e-06	1.0	0.0
,,group_30779	20.3	6.62005839055e-06	1.0	0.0
,,mmcR_1	20.3	6.62005839055e-06	1.0	0.0
,,group_2587	20.3	6.62005839055e-06	1.0	0.0
,,group_20175	20.3	6.62005839055e-06	1.0	0.0
,,group_30731	20.3	6.62005839055e-06	1.0	0.0
,,group_38798	20.3	6.62005839055e-06	1.0	0.0
,,group_36533	20.3	6.62005839055e-06	1.0	0.0
,,group_14743	20.3	6.62005839055e-06	1.0	0.0
,,hsrA_1	20.3	6.62005839055e-06	1.0	0.0
,,group_38789	20.3	6.62005839055e-06	1.0	0.0
,,pntAA_2	20.3	6.62005839055e-06	1.0	0.0
,,group_30742	20.3	6.62005839055e-06	1.0	0.0
,,group_36522	20.3	6.62005839055e-06	1.0	0.0
,,group_5236	20.3	6.62005839055e-06	1.0	0.0
,,group_30759	20.3	6.62005839055e-06	1.0	0.0
,,group_33522	20.3	6.62005839055e-06	1.0	0.0
,,group_32174	20.3	6.62005839055e-06	1.0	0.0
,,group_30792	20.3	6.62005839055e-06	1.0	0.0
,,group_21009	20.3	6.62005839055e-06	1.0	0.0
,,mtnN_2	20.3	6.62005839055e-06	1.0	0.0
,,group_30735	20.3	6.62005839055e-06	1.0	0.0
