feature	score	p-value	#I-out-of-206	#O-out-of-220
,,group_22974	8.54368932039	0.00346722167456	8.0	0.0
,,group_4029	8.54368932039	0.00346722167456	8.0	0.0
,,group_17595	8.54368932039	0.00346722167456	8.0	0.0
,,ravA	8.54368932039	0.00346722167456	8.0	0.0
,,group_14520	8.54368932039	0.00346722167456	8.0	0.0
,,group_16413	8.52710250914	0.00349896299922	38.0	18.0
,,group_11664	8.49590603571	0.00355946480791	20.0	6.0
,,group_4150	8.47747572816	0.00359570695424	12.0	33.0
,,group_4704	8.4606742079	0.00362907309875	33.0	65.0
,,group_16713	8.44501828269	0.00366044757586	46.0	24.0
,,radD_2	8.44501828269	0.00366044757586	46.0	24.0
